city,year,weekofyear,total_cases
sj,2008,18,3
sj,2008,19,3
sj,2008,20,5
sj,2008,21,7
sj,2008,22,9
sj,2008,23,12
sj,2008,24,13
sj,2008,25,16
sj,2008,26,19
sj,2008,27,22
sj,2008,28,23
sj,2008,29,27
sj,2008,30,30
sj,2008,31,33
sj,2008,32,35
sj,2008,33,39
sj,2008,34,42
sj,2008,35,44
sj,2008,36,48
sj,2008,37,49
sj,2008,38,51
sj,2008,39,51
sj,2008,40,52
sj,2008,41,54
sj,2008,42,54
sj,2008,43,53
sj,2008,44,54
sj,2008,45,55
sj,2008,46,55
sj,2008,47,55
sj,2008,48,53
sj,2008,49,50
sj,2008,50,48
sj,2008,51,47
sj,2008,52,43
sj,2009,1,40
sj,2009,2,37
sj,2009,3,36
sj,2009,4,34
sj,2009,5,32
sj,2009,6,30
sj,2009,7,28
sj,2009,8,26
sj,2009,9,23
sj,2009,10,22
sj,2009,11,20
sj,2009,12,18
sj,2009,13,16
sj,2009,14,14
sj,2009,15,12
sj,2009,16,12
sj,2009,17,13
sj,2009,18,13
sj,2009,19,12
sj,2009,20,12
sj,2009,21,12
sj,2009,22,14
sj,2009,23,15
sj,2009,24,17
sj,2009,25,19
sj,2009,26,22
sj,2009,27,27
sj,2009,28,30
sj,2009,29,34
sj,2009,30,38
sj,2009,31,41
sj,2009,32,45
sj,2009,33,47
sj,2009,34,50
sj,2009,35,54
sj,2009,36,58
sj,2009,37,59
sj,2009,38,62
sj,2009,39,64
sj,2009,40,67
sj,2009,41,70
sj,2009,42,74
sj,2009,43,76
sj,2009,44,78
sj,2009,45,79
sj,2009,46,78
sj,2009,47,79
sj,2009,48,78
sj,2009,49,77
sj,2009,50,76
sj,2009,51,74
sj,2009,52,73
sj,2010,53,72
sj,2010,1,70
sj,2010,2,66
sj,2010,3,63
sj,2010,4,60
sj,2010,5,56
sj,2010,6,55
sj,2010,7,53
sj,2010,8,52
sj,2010,9,52
sj,2010,10,50
sj,2010,11,48
sj,2010,12,49
sj,2010,13,49
sj,2010,14,49
sj,2010,15,47
sj,2010,16,46
sj,2010,17,47
sj,2010,18,48
sj,2010,19,48
sj,2010,20,49
sj,2010,21,51
sj,2010,22,53
sj,2010,23,56
sj,2010,24,58
sj,2010,25,58
sj,2010,26,58
sj,2010,27,61
sj,2010,28,63
sj,2010,29,64
sj,2010,30,63
sj,2010,31,66
sj,2010,32,69
sj,2010,33,71
sj,2010,34,73
sj,2010,35,75
sj,2010,36,78
sj,2010,37,79
sj,2010,38,81
sj,2010,39,81
sj,2010,40,82
sj,2010,41,83
sj,2010,42,83
sj,2010,43,84
sj,2010,44,84
sj,2010,45,83
sj,2010,46,81
sj,2010,47,79
sj,2010,48,76
sj,2010,49,71
sj,2010,50,69
sj,2010,51,66
sj,2011,52,63
sj,2011,1,58
sj,2011,2,54
sj,2011,3,51
sj,2011,4,48
sj,2011,5,44
sj,2011,6,42
sj,2011,7,40
sj,2011,8,37
sj,2011,9,34
sj,2011,10,31
sj,2011,11,29
sj,2011,12,26
sj,2011,13,24
sj,2011,14,24
sj,2011,15,22
sj,2011,16,21
sj,2011,17,21
sj,2011,18,20
sj,2011,19,19
sj,2011,20,19
sj,2011,21,17
sj,2011,22,19
sj,2011,23,18
sj,2011,24,19
sj,2011,25,21
sj,2011,26,23
sj,2011,27,25
sj,2011,28,26
sj,2011,29,27
sj,2011,30,30
sj,2011,31,32
sj,2011,32,33
sj,2011,33,35
sj,2011,34,37
sj,2011,35,38
sj,2011,36,40
sj,2011,37,43
sj,2011,38,43
sj,2011,39,44
sj,2011,40,46
sj,2011,41,47
sj,2011,42,48
sj,2011,43,48
sj,2011,44,49
sj,2011,45,49
sj,2011,46,48
sj,2011,47,48
sj,2011,48,47
sj,2011,49,45
sj,2011,50,43
sj,2011,51,41
sj,2012,52,39
sj,2012,1,38
sj,2012,2,35
sj,2012,3,33
sj,2012,4,30
sj,2012,5,26
sj,2012,6,24
sj,2012,7,22
sj,2012,8,19
sj,2012,9,18
sj,2012,10,16
sj,2012,11,15
sj,2012,12,14
sj,2012,13,13
sj,2012,14,12
sj,2012,15,13
sj,2012,16,13
sj,2012,17,12
sj,2012,18,14
sj,2012,19,14
sj,2012,20,16
sj,2012,21,17
sj,2012,22,19
sj,2012,23,22
sj,2012,24,26
sj,2012,25,31
sj,2012,26,36
sj,2012,27,40
sj,2012,28,42
sj,2012,29,45
sj,2012,30,47
sj,2012,31,50
sj,2012,32,52
sj,2012,33,54
sj,2012,34,57
sj,2012,35,58
sj,2012,36,60
sj,2012,37,63
sj,2012,38,67
sj,2012,39,70
sj,2012,40,72
sj,2012,41,74
sj,2012,42,75
sj,2012,43,77
sj,2012,44,79
sj,2012,45,81
sj,2012,46,82
sj,2012,47,82
sj,2012,48,82
sj,2012,49,81
sj,2012,50,80
sj,2012,51,77
sj,2013,1,76
sj,2013,2,73
sj,2013,3,70
sj,2013,4,66
sj,2013,5,64
sj,2013,6,61
sj,2013,7,57
sj,2013,8,55
sj,2013,9,52
sj,2013,10,51
sj,2013,11,49
sj,2013,12,47
sj,2013,13,47
sj,2013,14,46
sj,2013,15,47
sj,2013,16,48
sj,2013,17,47
iq,2010,26,3
iq,2010,27,3
iq,2010,28,4
iq,2010,29,3
iq,2010,30,3
iq,2010,31,3
iq,2010,32,3
iq,2010,33,3
iq,2010,34,4
iq,2010,35,4
iq,2010,36,4
iq,2010,37,5
iq,2010,38,5
iq,2010,39,5
iq,2010,40,5
iq,2010,41,6
iq,2010,42,5
iq,2010,43,6
iq,2010,44,6
iq,2010,45,6
iq,2010,46,5
iq,2010,47,5
iq,2010,48,5
iq,2010,49,5
iq,2010,50,6
iq,2010,51,6
iq,2011,52,6
iq,2011,1,6
iq,2011,2,6
iq,2011,3,6
iq,2011,4,6
iq,2011,5,6
iq,2011,6,6
iq,2011,7,6
iq,2011,8,6
iq,2011,9,6
iq,2011,10,6
iq,2011,11,6
iq,2011,12,6
iq,2011,13,6
iq,2011,14,6
iq,2011,15,6
iq,2011,16,6
iq,2011,17,6
iq,2011,18,6
iq,2011,19,7
iq,2011,20,7
iq,2011,21,7
iq,2011,22,7
iq,2011,23,8
iq,2011,24,8
iq,2011,25,8
iq,2011,26,8
iq,2011,27,8
iq,2011,28,8
iq,2011,29,8
iq,2011,30,8
iq,2011,31,8
iq,2011,32,8
iq,2011,33,8
iq,2011,34,7
iq,2011,35,7
iq,2011,36,7
iq,2011,37,7
iq,2011,38,7
iq,2011,39,7
iq,2011,40,7
iq,2011,41,7
iq,2011,42,7
iq,2011,43,7
iq,2011,44,7
iq,2011,45,7
iq,2011,46,7
iq,2011,47,7
iq,2011,48,7
iq,2011,49,7
iq,2011,50,7
iq,2011,51,7
iq,2012,52,7
iq,2012,1,7
iq,2012,2,8
iq,2012,3,7
iq,2012,4,7
iq,2012,5,7
iq,2012,6,7
iq,2012,7,7
iq,2012,8,7
iq,2012,9,7
iq,2012,10,7
iq,2012,11,7
iq,2012,12,7
iq,2012,13,7
iq,2012,14,7
iq,2012,15,7
iq,2012,16,8
iq,2012,17,8
iq,2012,18,8
iq,2012,19,7
iq,2012,20,7
iq,2012,21,8
iq,2012,22,8
iq,2012,23,8
iq,2012,24,7
iq,2012,25,7
iq,2012,26,7
iq,2012,27,7
iq,2012,28,6
iq,2012,29,6
iq,2012,30,5
iq,2012,31,5
iq,2012,32,5
iq,2012,33,5
iq,2012,34,5
iq,2012,35,5
iq,2012,36,5
iq,2012,37,6
iq,2012,38,6
iq,2012,39,6
iq,2012,40,6
iq,2012,41,6
iq,2012,42,6
iq,2012,43,6
iq,2012,44,7
iq,2012,45,7
iq,2012,46,7
iq,2012,47,7
iq,2012,48,7
iq,2012,49,7
iq,2012,50,7
iq,2012,51,7
iq,2013,1,7
iq,2013,2,7
