city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,3
sj,2008,20,5
sj,2008,21,8
sj,2008,22,9
sj,2008,23,12
sj,2008,24,14
sj,2008,25,17
sj,2008,26,21
sj,2008,27,24
sj,2008,28,26
sj,2008,29,30
sj,2008,30,33
sj,2008,31,36
sj,2008,32,39
sj,2008,33,42
sj,2008,34,46
sj,2008,35,49
sj,2008,36,53
sj,2008,37,55
sj,2008,38,57
sj,2008,39,57
sj,2008,40,57
sj,2008,41,58
sj,2008,42,57
sj,2008,43,56
sj,2008,44,55
sj,2008,45,55
sj,2008,46,55
sj,2008,47,53
sj,2008,48,50
sj,2008,49,45
sj,2008,50,40
sj,2008,51,36
sj,2008,52,30
sj,2009,1,28
sj,2009,2,27
sj,2009,3,27
sj,2009,4,27
sj,2009,5,27
sj,2009,6,26
sj,2009,7,25
sj,2009,8,23
sj,2009,9,21
sj,2009,10,20
sj,2009,11,19
sj,2009,12,17
sj,2009,13,15
sj,2009,14,13
sj,2009,15,11
sj,2009,16,12
sj,2009,17,12
sj,2009,18,12
sj,2009,19,11
sj,2009,20,12
sj,2009,21,12
sj,2009,22,14
sj,2009,23,16
sj,2009,24,19
sj,2009,25,21
sj,2009,26,25
sj,2009,27,30
sj,2009,28,33
sj,2009,29,38
sj,2009,30,42
sj,2009,31,45
sj,2009,32,49
sj,2009,33,52
sj,2009,34,55
sj,2009,35,60
sj,2009,36,63
sj,2009,37,64
sj,2009,38,67
sj,2009,39,68
sj,2009,40,72
sj,2009,41,75
sj,2009,42,78
sj,2009,43,80
sj,2009,44,81
sj,2009,45,82
sj,2009,46,80
sj,2009,47,79
sj,2009,48,78
sj,2009,49,75
sj,2009,50,73
sj,2009,51,69
sj,2009,52,66
sj,2010,53,62
sj,2010,1,63
sj,2010,2,61
sj,2010,3,60
sj,2010,4,60
sj,2010,5,57
sj,2010,6,56
sj,2010,7,56
sj,2010,8,56
sj,2010,9,58
sj,2010,10,57
sj,2010,11,56
sj,2010,12,57
sj,2010,13,59
sj,2010,14,58
sj,2010,15,57
sj,2010,16,57
sj,2010,17,59
sj,2010,18,61
sj,2010,19,62
sj,2010,20,64
sj,2010,21,67
sj,2010,22,71
sj,2010,23,75
sj,2010,24,79
