city,year,weekofyear,total_cases
sj,2008,18,22
sj,2008,19,18
sj,2008,20,37
sj,2008,21,16
sj,2008,22,26
sj,2008,23,37
sj,2008,24,36
sj,2008,25,39
sj,2008,26,42
sj,2008,27,37
sj,2008,28,35
sj,2008,29,39
sj,2008,30,38
sj,2008,31,39
sj,2008,32,47
sj,2008,33,46
sj,2008,34,45
sj,2008,35,47
sj,2008,36,47
sj,2008,37,46
sj,2008,38,50
sj,2008,39,37
sj,2008,40,46
sj,2008,41,40
sj,2008,42,39
sj,2008,43,36
sj,2008,44,31
sj,2008,45,34
sj,2008,46,37
sj,2008,47,40
sj,2008,48,25
sj,2008,49,17
sj,2008,50,17
sj,2008,51,18
sj,2008,52,19
sj,2009,1,19
sj,2009,2,19
sj,2009,3,17
sj,2009,4,17
sj,2009,5,23
sj,2009,6,16
sj,2009,7,17
sj,2009,8,17
sj,2009,9,20
sj,2009,10,16
sj,2009,11,16
sj,2009,12,18
sj,2009,13,18
sj,2009,14,18
sj,2009,15,17
sj,2009,16,16
sj,2009,17,18
sj,2009,18,18
sj,2009,19,16
sj,2009,20,26
sj,2009,21,24
sj,2009,22,34
sj,2009,23,38
sj,2009,24,42
sj,2009,25,38
sj,2009,26,49
sj,2009,27,43
sj,2009,28,42
sj,2009,29,48
sj,2009,30,44
sj,2009,31,45
sj,2009,32,41
sj,2009,33,44
sj,2009,34,49
sj,2009,35,49
sj,2009,36,41
sj,2009,37,46
sj,2009,38,43
sj,2009,39,38
sj,2009,40,49
sj,2009,41,49
sj,2009,42,49
sj,2009,43,47
sj,2009,44,44
sj,2009,45,53
sj,2009,46,37
sj,2009,47,38
sj,2009,48,39
sj,2009,49,31
sj,2009,50,31
sj,2009,51,30
sj,2009,52,24
sj,2010,53,24
sj,2010,1,29
sj,2010,2,19
sj,2010,3,33
sj,2010,4,25
sj,2010,5,19
sj,2010,6,16
sj,2010,7,19
sj,2010,8,19
sj,2010,9,36
sj,2010,10,27
sj,2010,11,22
sj,2010,12,45
sj,2010,13,27
sj,2010,14,17
sj,2010,15,17
sj,2010,16,27
sj,2010,17,39
sj,2010,18,38
sj,2010,19,34
sj,2010,20,35
sj,2010,21,39
sj,2010,22,47
sj,2010,23,47
sj,2010,24,47
sj,2010,25,43
sj,2010,26,43
sj,2010,27,47
sj,2010,28,48
sj,2010,29,44
sj,2010,30,43
sj,2010,31,47
sj,2010,32,47
sj,2010,33,48
sj,2010,34,48
sj,2010,35,48
sj,2010,36,47
sj,2010,37,47
sj,2010,38,48
sj,2010,39,43
sj,2010,40,45
sj,2010,41,47
sj,2010,42,42
sj,2010,43,44
sj,2010,44,38
sj,2010,45,39
sj,2010,46,24
sj,2010,47,16
sj,2010,48,17
sj,2010,49,19
sj,2010,50,25
sj,2010,51,17
sj,2011,52,17
sj,2011,1,21
sj,2011,2,23
sj,2011,3,21
sj,2011,4,19
sj,2011,5,18
sj,2011,6,16
sj,2011,7,17
sj,2011,8,17
sj,2011,9,18
sj,2011,10,21
sj,2011,11,17
sj,2011,12,20
sj,2011,13,17
sj,2011,14,32
sj,2011,15,16
sj,2011,16,16
sj,2011,17,16
sj,2011,18,27
sj,2011,19,16
sj,2011,20,35
sj,2011,21,40
sj,2011,22,45
sj,2011,23,42
sj,2011,24,44
sj,2011,25,47
sj,2011,26,49
sj,2011,27,42
sj,2011,28,45
sj,2011,29,42
sj,2011,30,48
sj,2011,31,41
sj,2011,32,49
sj,2011,33,48
sj,2011,34,47
sj,2011,35,43
sj,2011,36,45
sj,2011,37,50
sj,2011,38,41
sj,2011,39,45
sj,2011,40,48
sj,2011,41,36
sj,2011,42,35
sj,2011,43,38
sj,2011,44,41
sj,2011,45,36
sj,2011,46,35
sj,2011,47,36
sj,2011,48,37
sj,2011,49,17
sj,2011,50,31
sj,2011,51,15
sj,2012,52,16
sj,2012,1,18
sj,2012,2,19
sj,2012,3,17
sj,2012,4,19
sj,2012,5,17
sj,2012,6,17
sj,2012,7,16
sj,2012,8,19
sj,2012,9,17
sj,2012,10,16
sj,2012,11,16
sj,2012,12,15
sj,2012,13,16
sj,2012,14,25
sj,2012,15,19
sj,2012,16,18
sj,2012,17,17
sj,2012,18,33
sj,2012,19,26
sj,2012,20,34
sj,2012,21,35
sj,2012,22,27
sj,2012,23,42
sj,2012,24,42
sj,2012,25,39
sj,2012,26,43
sj,2012,27,41
sj,2012,28,39
sj,2012,29,49
sj,2012,30,48
sj,2012,31,53
sj,2012,32,49
sj,2012,33,48
sj,2012,34,50
sj,2012,35,43
sj,2012,36,38
sj,2012,37,40
sj,2012,38,39
sj,2012,39,48
sj,2012,40,46
sj,2012,41,42
sj,2012,42,48
sj,2012,43,46
sj,2012,44,45
