city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,4
sj,2008,20,6
sj,2008,21,8
sj,2008,22,9
sj,2008,23,11
sj,2008,24,12
sj,2008,25,15
sj,2008,26,18
sj,2008,27,21
sj,2008,28,22
sj,2008,29,25
sj,2008,30,28
sj,2008,31,31
sj,2008,32,33
sj,2008,33,37
sj,2008,34,40
sj,2008,35,43
sj,2008,36,47
sj,2008,37,49
sj,2008,38,50
sj,2008,39,50
sj,2008,40,50
sj,2008,41,51
sj,2008,42,50
sj,2008,43,49
sj,2008,44,48
sj,2008,45,48
sj,2008,46,47
sj,2008,47,45
sj,2008,48,42
sj,2008,49,37
sj,2008,50,33
sj,2008,51,29
sj,2008,52,24
sj,2009,1,22
sj,2009,2,20
sj,2009,3,19
sj,2009,4,18
sj,2009,5,17
sj,2009,6,16
sj,2009,7,14
sj,2009,8,12
sj,2009,9,10
sj,2009,10,9
sj,2009,11,9
sj,2009,12,8
sj,2009,13,6
sj,2009,14,5
sj,2009,15,4
sj,2009,16,4
sj,2009,17,4
sj,2009,18,4
sj,2009,19,3
sj,2009,20,3
sj,2009,21,3
sj,2009,22,6
sj,2009,23,8
sj,2009,24,10
sj,2009,25,13
sj,2009,26,16
sj,2009,27,21
sj,2009,28,24
sj,2009,29,29
sj,2009,30,32
sj,2009,31,35
sj,2009,32,38
sj,2009,33,41
sj,2009,34,44
sj,2009,35,48
sj,2009,36,51
sj,2009,37,52
sj,2009,38,54
sj,2009,39,55
sj,2009,40,58
sj,2009,41,61
sj,2009,42,64
sj,2009,43,65
sj,2009,44,66
sj,2009,45,66
sj,2009,46,64
sj,2009,47,63
sj,2009,48,62
sj,2009,49,59
sj,2009,50,57
sj,2009,51,53
sj,2009,52,50
sj,2010,53,47
sj,2010,1,46
sj,2010,2,43
sj,2010,3,41
sj,2010,4,40
sj,2010,5,37
sj,2010,6,36
sj,2010,7,35
sj,2010,8,35
sj,2010,9,36
sj,2010,10,34
sj,2010,11,33
sj,2010,12,34
sj,2010,13,35
sj,2010,14,35
sj,2010,15,33
sj,2010,16,33
sj,2010,17,35
sj,2010,18,37
sj,2010,19,37
sj,2010,20,39
sj,2010,21,41
sj,2010,22,45
sj,2010,23,49
sj,2010,24,52
sj,2010,25,53
sj,2010,26,54
sj,2010,27,57
sj,2010,28,60
sj,2010,29,61
sj,2010,30,61
sj,2010,31,64
sj,2010,32,67
sj,2010,33,69
sj,2010,34,72
sj,2010,35,74
sj,2010,36,77
sj,2010,37,78
sj,2010,38,79
sj,2010,39,79
sj,2010,40,80
sj,2010,41,81
sj,2010,42,81
sj,2010,43,80
sj,2010,44,78
sj,2010,45,77
sj,2010,46,73
sj,2010,47,68
sj,2010,48,63
sj,2010,49,58
sj,2010,50,54
sj,2010,51,48
sj,2011,52,42
sj,2011,1,38
sj,2011,2,35
sj,2011,3,33
sj,2011,4,30
sj,2011,5,27
sj,2011,6,25
sj,2011,7,23
sj,2011,8,21
sj,2011,9,18
sj,2011,10,15
sj,2011,11,13
sj,2011,12,10
sj,2011,13,8
sj,2011,14,8
sj,2011,15,6
sj,2011,16,5
sj,2011,17,5
sj,2011,18,4
sj,2011,19,3
sj,2011,20,3
sj,2011,21,2
sj,2011,22,5
sj,2011,23,5
sj,2011,24,8
sj,2011,25,11
sj,2011,26,13
sj,2011,27,15
sj,2011,28,17
sj,2011,29,18
sj,2011,30,22
sj,2011,31,24
sj,2011,32,26
sj,2011,33,28
sj,2011,34,31
sj,2011,35,32
sj,2011,36,34
sj,2011,37,37
sj,2011,38,36
sj,2011,39,37
sj,2011,40,39
sj,2011,41,39
sj,2011,42,39
sj,2011,43,38
sj,2011,44,38
sj,2011,45,37
sj,2011,46,36
sj,2011,47,34
sj,2011,48,31
sj,2011,49,27
sj,2011,50,24
sj,2011,51,20
sj,2012,52,16
sj,2012,1,16
sj,2012,2,14
sj,2012,3,12
sj,2012,4,9
sj,2012,5,7
sj,2012,6,5
sj,2012,7,4
sj,2012,8,1
sj,2012,9,0
sj,2012,10,0
sj,2012,11,0
sj,2012,12,0
sj,2012,13,0
sj,2012,14,0
sj,2012,15,1
sj,2012,16,1
sj,2012,17,1
sj,2012,18,3
sj,2012,19,3
sj,2012,20,5
sj,2012,21,7
sj,2012,22,8
sj,2012,23,12
sj,2012,24,16
sj,2012,25,21
sj,2012,26,26
sj,2012,27,29
sj,2012,28,30
sj,2012,29,33
sj,2012,30,36
sj,2012,31,38
sj,2012,32,40
sj,2012,33,42
sj,2012,34,45
sj,2012,35,46
sj,2012,36,48
sj,2012,37,50
sj,2012,38,53
sj,2012,39,56
sj,2012,40,57
sj,2012,41,58
sj,2012,42,59
sj,2012,43,60
sj,2012,44,62
sj,2012,45,62
sj,2012,46,62
sj,2012,47,61
sj,2012,48,59
sj,2012,49,56
sj,2012,50,53
sj,2012,51,48
sj,2013,1,47
sj,2013,2,45
sj,2013,3,42
sj,2013,4,39
sj,2013,5,37
sj,2013,6,34
sj,2013,7,31
sj,2013,8,28
sj,2013,9,26
sj,2013,10,25
sj,2013,11,23
sj,2013,12,22
sj,2013,13,22
sj,2013,14,21
sj,2013,15,22
sj,2013,16,23
sj,2013,17,21
iq,2010,26,5
iq,2010,27,5
iq,2010,28,5
iq,2010,29,2
iq,2010,30,1
iq,2010,31,2
iq,2010,32,2
iq,2010,33,3
iq,2010,34,3
iq,2010,35,4
iq,2010,36,4
iq,2010,37,4
iq,2010,38,4
iq,2010,39,4
iq,2010,40,4
iq,2010,41,4
iq,2010,42,4
iq,2010,43,4
iq,2010,44,4
iq,2010,45,4
iq,2010,46,4
iq,2010,47,4
iq,2010,48,4
iq,2010,49,4
iq,2010,50,5
iq,2010,51,5
iq,2011,52,5
iq,2011,1,6
iq,2011,2,6
iq,2011,3,6
iq,2011,4,6
iq,2011,5,6
iq,2011,6,6
iq,2011,7,6
iq,2011,8,6
iq,2011,9,6
iq,2011,10,6
iq,2011,11,6
iq,2011,12,6
iq,2011,13,6
iq,2011,14,6
iq,2011,15,6
iq,2011,16,6
iq,2011,17,7
iq,2011,18,7
iq,2011,19,7
iq,2011,20,7
iq,2011,21,7
iq,2011,22,7
iq,2011,23,7
iq,2011,24,7
iq,2011,25,7
iq,2011,26,7
iq,2011,27,7
iq,2011,28,6
iq,2011,29,6
iq,2011,30,6
iq,2011,31,6
iq,2011,32,5
iq,2011,33,5
iq,2011,34,4
iq,2011,35,3
iq,2011,36,4
iq,2011,37,4
iq,2011,38,4
iq,2011,39,5
iq,2011,40,5
iq,2011,41,5
iq,2011,42,6
iq,2011,43,6
iq,2011,44,6
iq,2011,45,6
iq,2011,46,6
iq,2011,47,5
iq,2011,48,5
iq,2011,49,5
iq,2011,50,5
iq,2011,51,5
iq,2012,52,5
iq,2012,1,6
iq,2012,2,7
iq,2012,3,7
iq,2012,4,7
iq,2012,5,7
iq,2012,6,7
iq,2012,7,7
iq,2012,8,7
iq,2012,9,6
iq,2012,10,6
iq,2012,11,6
iq,2012,12,6
iq,2012,13,6
iq,2012,14,6
iq,2012,15,7
iq,2012,16,7
iq,2012,17,7
iq,2012,18,7
iq,2012,19,6
iq,2012,20,6
iq,2012,21,6
iq,2012,22,6
iq,2012,23,6
iq,2012,24,4
iq,2012,25,4
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,4
iq,2012,30,3
iq,2012,31,3
iq,2012,32,3
iq,2012,33,3
iq,2012,34,3
iq,2012,35,3
iq,2012,36,3
iq,2012,37,4
iq,2012,38,4
iq,2012,39,4
iq,2012,40,4
iq,2012,41,5
iq,2012,42,5
iq,2012,43,5
iq,2012,44,5
iq,2012,45,5
iq,2012,46,5
iq,2012,47,5
iq,2012,48,5
iq,2012,49,5
iq,2012,50,5
iq,2012,51,5
iq,2013,1,6
iq,2013,2,6
iq,2013,3,7
iq,2013,4,7
iq,2013,5,8
iq,2013,6,8
iq,2013,7,8
iq,2013,8,8
iq,2013,9,8
iq,2013,10,8
iq,2013,11,8
iq,2013,12,8
iq,2013,13,8
iq,2013,14,8
iq,2013,15,8
iq,2013,16,8
iq,2013,17,7
iq,2013,18,6
iq,2013,19,7
iq,2013,20,7
iq,2013,21,7
iq,2013,22,7
iq,2013,23,7
iq,2013,24,7
iq,2013,25,7
iq,2013,26,7
