city,year,weekofyear,total_cases
sj,2008,18,28
sj,2008,19,28
sj,2008,20,28
sj,2008,21,20
sj,2008,22,20
sj,2008,23,20
sj,2008,24,20
sj,2008,25,44
sj,2008,26,44
sj,2008,27,44
sj,2008,28,20
sj,2008,29,44
sj,2008,30,44
sj,2008,31,44
sj,2008,32,44
sj,2008,33,44
sj,2008,34,44
sj,2008,35,44
sj,2008,36,44
sj,2008,37,44
sj,2008,38,44
sj,2008,39,28
sj,2008,40,28
sj,2008,41,44
sj,2008,42,28
sj,2008,43,44
sj,2008,44,20
sj,2008,45,44
sj,2008,46,44
sj,2008,47,20
sj,2008,48,28
sj,2008,49,17
sj,2008,50,17
sj,2008,51,28
sj,2008,52,17
sj,2009,1,17
sj,2009,2,17
sj,2009,3,28
sj,2009,4,28
sj,2009,5,28
sj,2009,6,17
sj,2009,7,17
sj,2009,8,17
sj,2009,9,17
sj,2009,10,17
sj,2009,11,17
sj,2009,12,17
sj,2009,13,17
sj,2009,14,17
sj,2009,15,17
sj,2009,16,17
sj,2009,17,17
sj,2009,18,28
sj,2009,19,17
sj,2009,20,20
sj,2009,21,28
sj,2009,22,44
sj,2009,23,20
sj,2009,24,20
sj,2009,25,44
sj,2009,26,20
sj,2009,27,44
sj,2009,28,44
sj,2009,29,44
sj,2009,30,44
sj,2009,31,44
sj,2009,32,44
sj,2009,33,44
sj,2009,34,44
sj,2009,35,44
sj,2009,36,44
sj,2009,37,44
sj,2009,38,44
sj,2009,39,44
sj,2009,40,44
sj,2009,41,44
sj,2009,42,44
sj,2009,43,44
sj,2009,44,44
sj,2009,45,20
sj,2009,46,28
sj,2009,47,44
sj,2009,48,44
sj,2009,49,20
sj,2009,50,20
sj,2009,51,28
sj,2009,52,28
sj,2010,53,28
sj,2010,1,28
sj,2010,2,28
sj,2010,3,28
sj,2010,4,28
sj,2010,5,17
sj,2010,6,17
sj,2010,7,28
sj,2010,8,28
sj,2010,9,28
sj,2010,10,28
sj,2010,11,28
sj,2010,12,28
sj,2010,13,20
sj,2010,14,17
sj,2010,15,17
sj,2010,16,28
sj,2010,17,44
sj,2010,18,28
sj,2010,19,20
sj,2010,20,44
sj,2010,21,44
sj,2010,22,20
sj,2010,23,44
sj,2010,24,44
sj,2010,25,44
sj,2010,26,44
sj,2010,27,20
sj,2010,28,20
sj,2010,29,44
sj,2010,30,28
sj,2010,31,44
sj,2010,32,44
sj,2010,33,44
sj,2010,34,44
sj,2010,35,44
sj,2010,36,44
sj,2010,37,44
sj,2010,38,44
sj,2010,39,44
sj,2010,40,44
sj,2010,41,44
sj,2010,42,44
sj,2010,43,20
sj,2010,44,28
sj,2010,45,44
sj,2010,46,28
sj,2010,47,17
sj,2010,48,17
sj,2010,49,17
sj,2010,50,28
sj,2010,51,17
sj,2011,52,17
sj,2011,1,17
sj,2011,2,28
sj,2011,3,28
sj,2011,4,28
sj,2011,5,17
sj,2011,6,17
sj,2011,7,28
sj,2011,8,17
sj,2011,9,17
sj,2011,10,17
sj,2011,11,17
sj,2011,12,17
sj,2011,13,17
sj,2011,14,28
sj,2011,15,17
sj,2011,16,17
sj,2011,17,17
sj,2011,18,28
sj,2011,19,17
sj,2011,20,28
sj,2011,21,28
sj,2011,22,44
sj,2011,23,28
sj,2011,24,28
sj,2011,25,28
sj,2011,26,28
sj,2011,27,44
sj,2011,28,44
sj,2011,29,28
sj,2011,30,248
sj,2011,31,44
sj,2011,32,28
sj,2011,33,44
sj,2011,34,20
sj,2011,35,28
sj,2011,36,44
sj,2011,37,44
sj,2011,38,28
sj,2011,39,44
sj,2011,40,44
sj,2011,41,44
sj,2011,42,44
sj,2011,43,20
sj,2011,44,28
sj,2011,45,28
sj,2011,46,44
sj,2011,47,20
sj,2011,48,28
sj,2011,49,28
sj,2011,50,28
sj,2011,51,17
sj,2012,52,17
sj,2012,1,28
sj,2012,2,28
sj,2012,3,17
sj,2012,4,17
sj,2012,5,17
sj,2012,6,17
sj,2012,7,17
sj,2012,8,17
sj,2012,9,17
sj,2012,10,17
sj,2012,11,17
sj,2012,12,17
sj,2012,13,17
sj,2012,14,28
sj,2012,15,20
sj,2012,16,28
sj,2012,17,17
sj,2012,18,20
sj,2012,19,28
sj,2012,20,44
sj,2012,21,44
sj,2012,22,20
sj,2012,23,44
sj,2012,24,44
sj,2012,25,44
sj,2012,26,44
sj,2012,27,44
sj,2012,28,44
sj,2012,29,44
sj,2012,30,44
sj,2012,31,44
sj,2012,32,44
sj,2012,33,44
sj,2012,34,44
sj,2012,35,44
sj,2012,36,44
sj,2012,37,44
sj,2012,38,44
sj,2012,39,44
sj,2012,40,44
sj,2012,41,44
sj,2012,42,44
sj,2012,43,44
sj,2012,44,44
sj,2012,45,44
sj,2012,46,44
sj,2012,47,44
sj,2012,48,20
sj,2012,49,20
sj,2012,50,28
sj,2012,51,28
sj,2013,1,28
sj,2013,2,17
sj,2013,3,17
sj,2013,4,17
sj,2013,5,28
sj,2013,6,17
sj,2013,7,17
sj,2013,8,17
sj,2013,9,17
sj,2013,10,17
sj,2013,11,17
sj,2013,12,17
sj,2013,13,28
sj,2013,14,28
sj,2013,15,20
sj,2013,16,20
sj,2013,17,28
iq,2010,26,11
iq,2010,27,3
iq,2010,28,11
iq,2010,29,3
iq,2010,30,3
iq,2010,31,3
iq,2010,32,3
iq,2010,33,3
iq,2010,34,3
iq,2010,35,3
iq,2010,36,11
iq,2010,37,3
iq,2010,38,11
iq,2010,39,3
iq,2010,40,3
iq,2010,41,3
iq,2010,42,11
iq,2010,43,11
iq,2010,44,11
iq,2010,45,11
iq,2010,46,11
iq,2010,47,11
iq,2010,48,11
iq,2010,49,11
iq,2010,50,11
iq,2010,51,3
iq,2011,52,11
iq,2011,1,3
iq,2011,2,11
iq,2011,3,11
iq,2011,4,3
iq,2011,5,11
iq,2011,6,11
iq,2011,7,11
iq,2011,8,11
iq,2011,9,11
iq,2011,10,11
iq,2011,11,11
iq,2011,12,11
iq,2011,13,11
iq,2011,14,11
iq,2011,15,11
iq,2011,16,11
iq,2011,17,11
iq,2011,18,11
iq,2011,19,3
iq,2011,20,11
iq,2011,21,11
iq,2011,22,3
iq,2011,23,3
iq,2011,24,3
iq,2011,25,3
iq,2011,26,3
iq,2011,27,3
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,3
iq,2011,33,3
iq,2011,34,3
iq,2011,35,3
iq,2011,36,3
iq,2011,37,3
iq,2011,38,3
iq,2011,39,11
iq,2011,40,11
iq,2011,41,11
iq,2011,42,11
iq,2011,43,11
iq,2011,44,11
iq,2011,45,11
iq,2011,46,11
iq,2011,47,11
iq,2011,48,11
iq,2011,49,11
iq,2011,50,11
iq,2011,51,11
iq,2012,52,11
iq,2012,1,11
iq,2012,2,11
iq,2012,3,11
iq,2012,4,3
iq,2012,5,11
iq,2012,6,11
iq,2012,7,11
iq,2012,8,3
iq,2012,9,3
iq,2012,10,11
iq,2012,11,3
iq,2012,12,3
iq,2012,13,11
iq,2012,14,11
iq,2012,15,11
iq,2012,16,11
iq,2012,17,11
iq,2012,18,11
iq,2012,19,3
iq,2012,20,11
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,3
iq,2012,26,3
iq,2012,27,3
iq,2012,28,3
iq,2012,29,3
iq,2012,30,3
iq,2012,31,3
iq,2012,32,3
iq,2012,33,3
iq,2012,34,3
iq,2012,35,3
iq,2012,36,3
iq,2012,37,3
iq,2012,38,3
iq,2012,39,3
iq,2012,40,3
iq,2012,41,11
iq,2012,42,11
iq,2012,43,11
iq,2012,44,11
iq,2012,45,11
iq,2012,46,11
iq,2012,47,11
iq,2012,48,11
iq,2012,49,11
iq,2012,50,11
iq,2012,51,11
iq,2013,1,11
iq,2013,2,3
iq,2013,3,3
iq,2013,4,11
iq,2013,5,11
iq,2013,6,11
iq,2013,7,11
iq,2013,8,11
iq,2013,9,11
iq,2013,10,11
iq,2013,11,11
iq,2013,12,11
iq,2013,13,11
iq,2013,14,11
iq,2013,15,11
iq,2013,16,11
iq,2013,17,11
iq,2013,18,3
iq,2013,19,11
iq,2013,20,11
iq,2013,21,11
iq,2013,22,11
iq,2013,23,11
iq,2013,24,3
iq,2013,25,3
iq,2013,26,3
