city,year,weekofyear,total_cases
sj,2008,18,32
sj,2008,19,21
sj,2008,20,11
sj,2008,21,22
sj,2008,22,18
sj,2008,23,29
sj,2008,24,21
sj,2008,25,21
sj,2008,26,16
sj,2008,27,13
sj,2008,28,12
sj,2008,29,30
sj,2008,30,22
sj,2008,31,19
sj,2008,32,24
sj,2008,33,14
sj,2008,34,18
sj,2008,35,16
sj,2008,36,17
sj,2008,37,16
sj,2008,38,25
sj,2008,39,20
sj,2008,40,21
sj,2008,41,17
sj,2008,42,20
sj,2008,43,11
sj,2008,44,16
sj,2008,45,20
sj,2008,46,17
sj,2008,47,27
sj,2008,48,32
sj,2008,49,21
sj,2008,50,11
sj,2008,51,12
sj,2008,52,16
sj,2009,1,21
sj,2009,2,19
sj,2009,3,22
sj,2009,4,26
sj,2009,5,20
sj,2009,6,20
sj,2009,7,23
sj,2009,8,22
sj,2009,9,19
sj,2009,10,17
sj,2009,11,14
sj,2009,12,13
sj,2009,13,23
sj,2009,14,25
sj,2009,15,11
sj,2009,16,14
sj,2009,17,20
sj,2009,18,16
sj,2009,19,18
sj,2009,20,16
sj,2009,21,16
sj,2009,22,16
sj,2009,23,26
sj,2009,24,14
sj,2009,25,21
sj,2009,26,19
sj,2009,27,17
sj,2009,28,16
sj,2009,29,19
sj,2009,30,15
sj,2009,31,18
sj,2009,32,19
sj,2009,33,16
sj,2009,34,30
sj,2009,35,17
sj,2009,36,16
sj,2009,37,19
sj,2009,38,31
sj,2009,39,19
sj,2009,40,26
sj,2009,41,19
sj,2009,42,9
sj,2009,43,17
sj,2009,44,17
sj,2009,45,13
sj,2009,46,19
sj,2009,47,16
sj,2009,48,21
sj,2009,49,27
sj,2009,50,30
sj,2009,51,13
sj,2009,52,28
sj,2010,53,17
sj,2010,1,19
sj,2010,2,7
sj,2010,3,15
sj,2010,4,18
sj,2010,5,13
sj,2010,6,25
sj,2010,7,16
sj,2010,8,27
sj,2010,9,25
sj,2010,10,25
sj,2010,11,13
sj,2010,12,16
sj,2010,13,16
sj,2010,14,26
sj,2010,15,14
sj,2010,16,12
sj,2010,17,14
sj,2010,18,17
sj,2010,19,14
sj,2010,20,30
sj,2010,21,17
sj,2010,22,14
sj,2010,23,14
sj,2010,24,12
sj,2010,25,26
sj,2010,26,28
sj,2010,27,19
sj,2010,28,15
sj,2010,29,18
sj,2010,30,15
sj,2010,31,15
sj,2010,32,18
sj,2010,33,21
sj,2010,34,17
sj,2010,35,35
sj,2010,36,14
sj,2010,37,31
sj,2010,38,14
sj,2010,39,21
sj,2010,40,23
sj,2010,41,30
sj,2010,42,18
sj,2010,43,30
sj,2010,44,23
sj,2010,45,13
sj,2010,46,19
sj,2010,47,17
sj,2010,48,19
sj,2010,49,14
sj,2010,50,15
sj,2010,51,27
sj,2011,52,27
sj,2011,1,14
sj,2011,2,15
sj,2011,3,20
sj,2011,4,17
sj,2011,5,16
sj,2011,6,17
sj,2011,7,28
sj,2011,8,24
sj,2011,9,19
sj,2011,10,18
sj,2011,11,18
sj,2011,12,27
sj,2011,13,27
sj,2011,14,19
sj,2011,15,21
sj,2011,16,21
sj,2011,17,14
sj,2011,18,28
sj,2011,19,12
sj,2011,20,16
sj,2011,21,23
sj,2011,22,16
sj,2011,23,13
sj,2011,24,15
sj,2011,25,16
sj,2011,26,11
sj,2011,27,18
sj,2011,28,16
sj,2011,29,21
sj,2011,30,26
sj,2011,31,14
sj,2011,32,30
sj,2011,33,9
sj,2011,34,13
sj,2011,35,10
sj,2011,36,19
sj,2011,37,12
sj,2011,38,16
sj,2011,39,27
sj,2011,40,17
sj,2011,41,15
sj,2011,42,19
sj,2011,43,20
sj,2011,44,16
sj,2011,45,19
sj,2011,46,14
sj,2011,47,12
sj,2011,48,26
sj,2011,49,20
sj,2011,50,15
sj,2011,51,18
sj,2012,52,22
sj,2012,1,12
sj,2012,2,25
sj,2012,3,11
sj,2012,4,20
sj,2012,5,31
sj,2012,6,21
sj,2012,7,32
sj,2012,8,17
sj,2012,9,19
sj,2012,10,19
sj,2012,11,16
sj,2012,12,15
sj,2012,13,20
sj,2012,14,19
sj,2012,15,15
sj,2012,16,22
sj,2012,17,23
sj,2012,18,13
sj,2012,19,11
sj,2012,20,20
sj,2012,21,28
sj,2012,22,15
sj,2012,23,13
sj,2012,24,22
sj,2012,25,15
sj,2012,26,19
sj,2012,27,20
sj,2012,28,29
sj,2012,29,12
sj,2012,30,18
sj,2012,31,16
sj,2012,32,21
sj,2012,33,20
sj,2012,34,13
sj,2012,35,17
sj,2012,36,18
sj,2012,37,13
sj,2012,38,30
sj,2012,39,21
sj,2012,40,26
sj,2012,41,28
sj,2012,42,18
sj,2012,43,14
sj,2012,44,27
sj,2012,45,19
sj,2012,46,20
sj,2012,47,19
sj,2012,48,23
sj,2012,49,16
sj,2012,50,18
sj,2012,51,21
sj,2013,1,16
sj,2013,2,20
sj,2013,3,25
sj,2013,4,21
sj,2013,5,15
sj,2013,6,18
sj,2013,7,17
sj,2013,8,21
sj,2013,9,21
sj,2013,10,17
sj,2013,11,23
sj,2013,12,19
sj,2013,13,18
sj,2013,14,19
sj,2013,15,17
sj,2013,16,11
sj,2013,17,17
iq,2010,26,6
iq,2010,27,6
iq,2010,28,7
iq,2010,29,2
iq,2010,30,2
iq,2010,31,2
iq,2010,32,6
iq,2010,33,3
iq,2010,34,4
iq,2010,35,2
iq,2010,36,2
iq,2010,37,6
iq,2010,38,6
iq,2010,39,6
iq,2010,40,2
iq,2010,41,3
iq,2010,42,2
iq,2010,43,2
iq,2010,44,4
iq,2010,45,7
iq,2010,46,2
iq,2010,47,7
iq,2010,48,7
iq,2010,49,6
iq,2010,50,3
iq,2010,51,6
iq,2011,52,6
iq,2011,1,7
iq,2011,2,7
iq,2011,3,2
iq,2011,4,2
iq,2011,5,2
iq,2011,6,2
iq,2011,7,2
iq,2011,8,2
iq,2011,9,6
iq,2011,10,7
iq,2011,11,3
iq,2011,12,6
iq,2011,13,7
iq,2011,14,6
iq,2011,15,6
iq,2011,16,2
iq,2011,17,2
iq,2011,18,6
iq,2011,19,7
iq,2011,20,2
iq,2011,21,2
iq,2011,22,4
iq,2011,23,7
iq,2011,24,2
iq,2011,25,7
iq,2011,26,6
iq,2011,27,2
iq,2011,28,4
iq,2011,29,6
iq,2011,30,4
iq,2011,31,2
iq,2011,32,2
iq,2011,33,6
iq,2011,34,6
iq,2011,35,6
iq,2011,36,6
iq,2011,37,2
iq,2011,38,2
iq,2011,39,2
iq,2011,40,2
iq,2011,41,6
iq,2011,42,6
iq,2011,43,2
iq,2011,44,7
iq,2011,45,6
iq,2011,46,2
iq,2011,47,4
iq,2011,48,2
iq,2011,49,6
iq,2011,50,6
iq,2011,51,7
iq,2012,52,2
iq,2012,1,7
iq,2012,2,5
iq,2012,3,2
iq,2012,4,6
iq,2012,5,2
iq,2012,6,2
iq,2012,7,2
iq,2012,8,2
iq,2012,9,6
iq,2012,10,6
iq,2012,11,2
iq,2012,12,6
iq,2012,13,5
iq,2012,14,2
iq,2012,15,5
iq,2012,16,6
iq,2012,17,6
iq,2012,18,2
iq,2012,19,6
iq,2012,20,7
iq,2012,21,7
iq,2012,22,7
iq,2012,23,2
iq,2012,24,3
iq,2012,25,6
iq,2012,26,3
iq,2012,27,2
iq,2012,28,2
iq,2012,29,2
iq,2012,30,6
iq,2012,31,2
iq,2012,32,2
iq,2012,33,6
iq,2012,34,2
iq,2012,35,2
iq,2012,36,7
iq,2012,37,6
iq,2012,38,2
iq,2012,39,6
iq,2012,40,6
iq,2012,41,2
iq,2012,42,2
iq,2012,43,6
iq,2012,44,6
iq,2012,45,6
iq,2012,46,2
iq,2012,47,2
iq,2012,48,2
iq,2012,49,7
iq,2012,50,6
iq,2012,51,4
iq,2013,1,6
iq,2013,2,7
iq,2013,3,6
iq,2013,4,2
iq,2013,5,4
iq,2013,6,7
iq,2013,7,5
iq,2013,8,7
iq,2013,9,7
iq,2013,10,6
iq,2013,11,7
iq,2013,12,7
iq,2013,13,7
iq,2013,14,2
iq,2013,15,2
iq,2013,16,6
iq,2013,17,5
iq,2013,18,6
iq,2013,19,2
iq,2013,20,6
iq,2013,21,6
iq,2013,22,2
iq,2013,23,6
iq,2013,24,2
iq,2013,25,7
iq,2013,26,2
