city,year,weekofyear,total_cases
sj,2008,18,16
sj,2008,19,16
sj,2008,20,18
sj,2008,21,18
sj,2008,22,18
sj,2008,23,20
sj,2008,24,19
sj,2008,25,21
sj,2008,26,21
sj,2008,27,22
sj,2008,28,20
sj,2008,29,22
sj,2008,30,22
sj,2008,31,22
sj,2008,32,22
sj,2008,33,23
sj,2008,34,23
sj,2008,35,23
sj,2008,36,24
sj,2008,37,23
sj,2008,38,23
sj,2008,39,20
sj,2008,40,21
sj,2008,41,21
sj,2008,42,20
sj,2008,43,19
sj,2008,44,19
sj,2008,45,21
sj,2008,46,20
sj,2008,47,19
sj,2008,48,17
sj,2008,49,12
sj,2008,50,13
sj,2008,51,15
sj,2008,52,11
sj,2009,1,11
sj,2009,2,11
sj,2009,3,15
sj,2009,4,15
sj,2009,5,16
sj,2009,6,14
sj,2009,7,13
sj,2009,8,11
sj,2009,9,11
sj,2009,10,13
sj,2009,11,11
sj,2009,12,10
sj,2009,13,11
sj,2009,14,10
sj,2009,15,12
sj,2009,16,14
sj,2009,17,15
sj,2009,18,15
sj,2009,19,14
sj,2009,20,17
sj,2009,21,16
sj,2009,22,21
sj,2009,23,19
sj,2009,24,20
sj,2009,25,21
sj,2009,26,20
sj,2009,27,23
sj,2009,28,22
sj,2009,29,24
sj,2009,30,23
sj,2009,31,22
sj,2009,32,23
sj,2009,33,23
sj,2009,34,23
sj,2009,35,25
sj,2009,36,22
sj,2009,37,22
sj,2009,38,23
sj,2009,39,21
sj,2009,40,24
sj,2009,41,24
sj,2009,42,24
sj,2009,43,23
sj,2009,44,22
sj,2009,45,20
sj,2009,46,19
sj,2009,47,20
sj,2009,48,20
sj,2009,49,18
sj,2009,50,19
sj,2009,51,18
sj,2009,52,17
sj,2010,53,17
sj,2010,1,16
sj,2010,2,14
sj,2010,3,16
sj,2010,4,16
sj,2010,5,11
sj,2010,6,14
sj,2010,7,15
sj,2010,8,16
sj,2010,9,19
sj,2010,10,15
sj,2010,11,15
sj,2010,12,19
sj,2010,13,18
sj,2010,14,14
sj,2010,15,14
sj,2010,16,17
sj,2010,17,21
sj,2010,18,21
sj,2010,19,19
sj,2010,20,21
sj,2010,21,21
sj,2010,22,24
sj,2010,23,24
sj,2010,24,23
sj,2010,25,22
sj,2010,26,22
sj,2010,27,24
sj,2010,28,24
sj,2010,29,22
sj,2010,30,22
sj,2010,31,24
sj,2010,32,24
sj,2010,33,24
sj,2010,34,24
sj,2010,35,24
sj,2010,36,24
sj,2010,37,23
sj,2010,38,23
sj,2010,39,22
sj,2010,40,23
sj,2010,41,23
sj,2010,42,22
sj,2010,43,20
sj,2010,44,20
sj,2010,45,21
sj,2010,46,17
sj,2010,47,14
sj,2010,48,13
sj,2010,49,8
sj,2010,50,17
sj,2010,51,13
sj,2011,52,13
sj,2011,1,11
sj,2011,2,14
sj,2011,3,15
sj,2011,4,14
sj,2011,5,12
sj,2011,6,14
sj,2011,7,15
sj,2011,8,14
sj,2011,9,10
sj,2011,10,11
sj,2011,11,9
sj,2011,12,11
sj,2011,13,14
sj,2011,14,16
sj,2011,15,14
sj,2011,16,14
sj,2011,17,15
sj,2011,18,17
sj,2011,19,14
sj,2011,20,17
sj,2011,21,18
sj,2011,22,21
sj,2011,23,19
sj,2011,24,23
sj,2011,25,22
sj,2011,26,22
sj,2011,27,22
sj,2011,28,22
sj,2011,29,21
sj,2011,30,24
sj,2011,31,22
sj,2011,32,23
sj,2011,33,22
sj,2011,34,23
sj,2011,35,22
sj,2011,36,22
sj,2011,37,24
sj,2011,38,20
sj,2011,39,22
sj,2011,40,23
sj,2011,41,21
sj,2011,42,20
sj,2011,43,19
sj,2011,44,21
sj,2011,45,20
sj,2011,46,20
sj,2011,47,19
sj,2011,48,18
sj,2011,49,15
sj,2011,50,17
sj,2011,51,13
sj,2012,52,14
sj,2012,1,15
sj,2012,2,14
sj,2012,3,13
sj,2012,4,12
sj,2012,5,11
sj,2012,6,13
sj,2012,7,14
sj,2012,8,12
sj,2012,9,14
sj,2012,10,14
sj,2012,11,13
sj,2012,12,13
sj,2012,13,14
sj,2012,14,16
sj,2012,15,17
sj,2012,16,16
sj,2012,17,14
sj,2012,18,19
sj,2012,19,17
sj,2012,20,21
sj,2012,21,20
sj,2012,22,18
sj,2012,23,22
sj,2012,24,22
sj,2012,25,23
sj,2012,26,24
sj,2012,27,23
sj,2012,28,21
sj,2012,29,23
sj,2012,30,23
sj,2012,31,23
sj,2012,32,23
sj,2012,33,23
sj,2012,34,24
sj,2012,35,22
sj,2012,36,22
sj,2012,37,22
sj,2012,38,23
sj,2012,39,24
sj,2012,40,22
sj,2012,41,22
sj,2012,42,23
sj,2012,43,22
sj,2012,44,23
sj,2012,45,22
sj,2012,46,21
sj,2012,47,21
sj,2012,48,19
sj,2012,49,18
sj,2012,50,16
sj,2012,51,15
sj,2013,1,16
sj,2013,2,15
sj,2013,3,12
sj,2013,4,12
sj,2013,5,15
sj,2013,6,12
sj,2013,7,12
sj,2013,8,12
sj,2013,9,13
sj,2013,10,13
sj,2013,11,11
sj,2013,12,10
sj,2013,13,17
sj,2013,14,17
sj,2013,15,18
sj,2013,16,18
sj,2013,17,15
iq,2010,26,4
iq,2010,27,2
iq,2010,28,5
iq,2010,29,0
iq,2010,30,0
iq,2010,31,2
iq,2010,32,0
iq,2010,33,2
iq,2010,34,0
iq,2010,35,3
iq,2010,36,3
iq,2010,37,2
iq,2010,38,3
iq,2010,39,2
iq,2010,40,1
iq,2010,41,3
iq,2010,42,4
iq,2010,43,6
iq,2010,44,8
iq,2010,45,5
iq,2010,46,4
iq,2010,47,5
iq,2010,48,6
iq,2010,49,6
iq,2010,50,6
iq,2010,51,2
iq,2011,52,4
iq,2011,1,2
iq,2011,2,4
iq,2011,3,4
iq,2011,4,1
iq,2011,5,3
iq,2011,6,4
iq,2011,7,5
iq,2011,8,6
iq,2011,9,5
iq,2011,10,4
iq,2011,11,4
iq,2011,12,5
iq,2011,13,5
iq,2011,14,6
iq,2011,15,4
iq,2011,16,4
iq,2011,17,6
iq,2011,18,6
iq,2011,19,1
iq,2011,20,4
iq,2011,21,4
iq,2011,22,3
iq,2011,23,2
iq,2011,24,3
iq,2011,25,0
iq,2011,26,2
iq,2011,27,3
iq,2011,28,0
iq,2011,29,0
iq,2011,30,1
iq,2011,31,0
iq,2011,32,1
iq,2011,33,0
iq,2011,34,0
iq,2011,35,0
iq,2011,36,1
iq,2011,37,2
iq,2011,38,3
iq,2011,39,4
iq,2011,40,4
iq,2011,41,5
iq,2011,42,7
iq,2011,43,4
iq,2011,44,5
iq,2011,45,5
iq,2011,46,5
iq,2011,47,5
iq,2011,48,6
iq,2011,49,6
iq,2011,50,5
iq,2011,51,6
iq,2012,52,7
iq,2012,1,6
iq,2012,2,5
iq,2012,3,4
iq,2012,4,3
iq,2012,5,5
iq,2012,6,5
iq,2012,7,4
iq,2012,8,3
iq,2012,9,2
iq,2012,10,4
iq,2012,11,3
iq,2012,12,2
iq,2012,13,5
iq,2012,14,4
iq,2012,15,7
iq,2012,16,6
iq,2012,17,5
iq,2012,18,5
