city,year,weekofyear,total_cases
sj,2008,18,21
sj,2008,19,21
sj,2008,20,23
sj,2008,21,22
sj,2008,22,22
sj,2008,23,25
sj,2008,24,25
sj,2008,25,26
sj,2008,26,27
sj,2008,27,28
sj,2008,28,26
sj,2008,29,28
sj,2008,30,28
sj,2008,31,27
sj,2008,32,29
sj,2008,33,30
sj,2008,34,29
sj,2008,35,30
sj,2008,36,31
sj,2008,37,30
sj,2008,38,30
sj,2008,39,27
sj,2008,40,27
sj,2008,41,27
sj,2008,42,26
sj,2008,43,26
sj,2008,44,25
sj,2008,45,28
sj,2008,46,26
sj,2008,47,25
sj,2008,48,23
sj,2008,49,17
sj,2008,50,18
sj,2008,51,20
sj,2008,52,17
sj,2009,1,17
sj,2009,2,17
sj,2009,3,20
sj,2009,4,20
sj,2009,5,21
sj,2009,6,19
sj,2009,7,18
sj,2009,8,17
sj,2009,9,17
sj,2009,10,18
sj,2009,11,16
sj,2009,12,15
sj,2009,13,17
sj,2009,14,15
sj,2009,15,17
sj,2009,16,18
sj,2009,17,18
sj,2009,18,20
sj,2009,19,19
sj,2009,20,23
sj,2009,21,22
sj,2009,22,28
sj,2009,23,25
sj,2009,24,25
sj,2009,25,27
sj,2009,26,26
sj,2009,27,28
sj,2009,28,27
sj,2009,29,30
sj,2009,30,29
sj,2009,31,28
sj,2009,32,29
sj,2009,33,29
sj,2009,34,30
sj,2009,35,31
sj,2009,36,28
sj,2009,37,28
sj,2009,38,29
sj,2009,39,27
sj,2009,40,30
sj,2009,41,31
sj,2009,42,31
sj,2009,43,29
sj,2009,44,27
sj,2009,45,26
sj,2009,46,26
sj,2009,47,27
sj,2009,48,28
sj,2009,49,25
sj,2009,50,24
sj,2009,51,23
sj,2009,52,22
sj,2010,53,22
sj,2010,1,22
sj,2010,2,20
sj,2010,3,23
sj,2010,4,23
sj,2010,5,17
sj,2010,6,18
sj,2010,7,21
sj,2010,8,21
sj,2010,9,25
sj,2010,10,20
sj,2010,11,20
sj,2010,12,24
sj,2010,13,23
sj,2010,14,18
sj,2010,15,18
sj,2010,16,23
sj,2010,17,28
sj,2010,18,26
sj,2010,19,25
sj,2010,20,28
sj,2010,21,28
sj,2010,22,32
sj,2010,23,31
sj,2010,24,30
sj,2010,25,29
sj,2010,26,30
sj,2010,27,31
sj,2010,28,31
sj,2010,29,30
sj,2010,30,30
sj,2010,31,31
sj,2010,32,31
sj,2010,33,31
sj,2010,34,31
sj,2010,35,31
sj,2010,36,31
sj,2010,37,31
sj,2010,38,30
sj,2010,39,30
sj,2010,40,31
sj,2010,41,31
sj,2010,42,29
sj,2010,43,26
sj,2010,44,25
sj,2010,45,28
sj,2010,46,23
sj,2010,47,19
sj,2010,48,18
sj,2010,49,14
sj,2010,50,23
sj,2010,51,19
sj,2011,52,19
sj,2011,1,18
sj,2011,2,21
sj,2011,3,21
sj,2011,4,20
sj,2011,5,18
sj,2011,6,19
sj,2011,7,20
sj,2011,8,20
sj,2011,9,15
sj,2011,10,17
sj,2011,11,14
sj,2011,12,16
sj,2011,13,19
sj,2011,14,21
sj,2011,15,18
sj,2011,16,19
sj,2011,17,19
sj,2011,18,23
sj,2011,19,19
sj,2011,20,22
sj,2011,21,25
sj,2011,22,29
sj,2011,23,27
sj,2011,24,31
sj,2011,25,29
sj,2011,26,29
sj,2011,27,30
sj,2011,28,29
sj,2011,29,28
sj,2011,30,31
sj,2011,31,29
sj,2011,32,30
sj,2011,33,29
sj,2011,34,31
sj,2011,35,29
sj,2011,36,29
sj,2011,37,31
sj,2011,38,28
sj,2011,39,30
sj,2011,40,30
sj,2011,41,27
sj,2011,42,27
sj,2011,43,25
sj,2011,44,27
sj,2011,45,26
sj,2011,46,27
sj,2011,47,25
sj,2011,48,24
sj,2011,49,20
sj,2011,50,24
sj,2011,51,17
sj,2012,52,18
sj,2012,1,20
sj,2012,2,20
sj,2012,3,18
sj,2012,4,18
sj,2012,5,17
sj,2012,6,19
sj,2012,7,19
sj,2012,8,18
sj,2012,9,18
sj,2012,10,19
sj,2012,11,18
sj,2012,12,17
sj,2012,13,20
sj,2012,14,21
sj,2012,15,22
sj,2012,16,21
sj,2012,17,18
sj,2012,18,25
sj,2012,19,23
sj,2012,20,27
sj,2012,21,27
