city,year,weekofyear,total_cases
sj,2008,18,12
sj,2008,19,18
sj,2008,20,28
sj,2008,21,6
sj,2008,22,6
sj,2008,23,61
sj,2008,24,2
sj,2008,25,16
sj,2008,26,20
sj,2008,27,42
sj,2008,28,41
sj,2008,29,4
sj,2008,30,40
sj,2008,31,22
sj,2008,32,40
sj,2008,33,10
sj,2008,34,19
sj,2008,35,80
sj,2008,36,8
sj,2008,37,121
sj,2008,38,8
sj,2008,39,26
sj,2008,40,152
sj,2008,41,12
sj,2008,42,25
sj,2008,43,55
sj,2008,44,20
sj,2008,45,29
sj,2008,46,20
sj,2008,47,11
sj,2008,48,9
sj,2008,49,28
sj,2008,50,14
sj,2008,51,21
sj,2008,52,35
sj,2009,1,31
sj,2009,2,20
sj,2009,3,31
sj,2009,4,20
sj,2009,5,16
sj,2009,6,49
sj,2009,7,15
sj,2009,8,29
sj,2009,9,7
sj,2009,10,10
sj,2009,11,33
sj,2009,12,31
sj,2009,13,9
sj,2009,14,42
sj,2009,15,9
sj,2009,16,6
sj,2009,17,40
sj,2009,18,28
sj,2009,19,14
sj,2009,20,61
sj,2009,21,16
sj,2009,22,13
sj,2009,23,24
sj,2009,24,9
sj,2009,25,2
sj,2009,26,13
sj,2009,27,5
sj,2009,28,10
sj,2009,29,16
sj,2009,30,8
sj,2009,31,16
sj,2009,32,11
sj,2009,33,107
sj,2009,34,3
sj,2009,35,55
sj,2009,36,6
sj,2009,37,34
sj,2009,38,8
sj,2009,39,9
sj,2009,40,15
sj,2009,41,23
sj,2009,42,10
sj,2009,43,21
sj,2009,44,46
sj,2009,45,13
sj,2009,46,12
sj,2009,47,7
sj,2009,48,49
sj,2009,49,12
sj,2009,50,49
sj,2009,51,19
sj,2009,52,24
sj,2010,53,33
sj,2010,1,30
sj,2010,2,144
sj,2010,3,15
sj,2010,4,17
sj,2010,5,22
sj,2010,6,14
sj,2010,7,14
sj,2010,8,52
sj,2010,9,34
sj,2010,10,14
sj,2010,11,49
sj,2010,12,22
sj,2010,13,21
sj,2010,14,17
sj,2010,15,31
sj,2010,16,124
sj,2010,17,13
sj,2010,18,18
sj,2010,19,7
sj,2010,20,31
sj,2010,21,24
sj,2010,22,23
sj,2010,23,10
sj,2010,24,7
sj,2010,25,78
sj,2010,26,27
sj,2010,27,120
sj,2010,28,147
sj,2010,29,9
sj,2010,30,12
sj,2010,31,36
sj,2010,32,33
sj,2010,33,5
sj,2010,34,5
sj,2010,35,68
sj,2010,36,30
sj,2010,37,4
sj,2010,38,51
sj,2010,39,37
sj,2010,40,34
sj,2010,41,43
sj,2010,42,8
sj,2010,43,10
sj,2010,44,31
sj,2010,45,1
sj,2010,46,30
sj,2010,47,19
sj,2010,48,27
sj,2010,49,24
sj,2010,50,1
sj,2010,51,2
sj,2011,52,19
sj,2011,1,4
sj,2011,2,13
sj,2011,3,12
sj,2011,4,22
sj,2011,5,27
sj,2011,6,168
sj,2011,7,28
sj,2011,8,14
sj,2011,9,22
sj,2011,10,11
sj,2011,11,14
sj,2011,12,8
sj,2011,13,55
sj,2011,14,10
sj,2011,15,27
sj,2011,16,35
sj,2011,17,29
sj,2011,18,12
sj,2011,19,19
sj,2011,20,0
sj,2011,21,0
sj,2011,22,13
sj,2011,23,23
sj,2011,24,4
sj,2011,25,3
sj,2011,26,141
sj,2011,27,43
sj,2011,28,32
sj,2011,29,2
sj,2011,30,16
sj,2011,31,14
sj,2011,32,60
sj,2011,33,35
sj,2011,34,9
sj,2011,35,0
sj,2011,36,32
sj,2011,37,16
sj,2011,38,80
sj,2011,39,16
sj,2011,40,16
sj,2011,41,5
sj,2011,42,56
sj,2011,43,22
sj,2011,44,37
sj,2011,45,47
sj,2011,46,27
sj,2011,47,51
sj,2011,48,121
sj,2011,49,6
sj,2011,50,45
sj,2011,51,36
sj,2012,52,26
sj,2012,1,13
sj,2012,2,39
sj,2012,3,27
sj,2012,4,32
sj,2012,5,12
sj,2012,6,4
sj,2012,7,8
sj,2012,8,34
sj,2012,9,23
sj,2012,10,6
sj,2012,11,18
sj,2012,12,10
sj,2012,13,27
sj,2012,14,25
sj,2012,15,51
sj,2012,16,12
sj,2012,17,12
sj,2012,18,15
sj,2012,19,19
sj,2012,20,19
sj,2012,21,41
sj,2012,22,11
sj,2012,23,19
sj,2012,24,7
sj,2012,25,9
sj,2012,26,38
sj,2012,27,3
sj,2012,28,15
sj,2012,29,38
sj,2012,30,37
sj,2012,31,36
sj,2012,32,7
sj,2012,33,4
sj,2012,34,11
sj,2012,35,2
sj,2012,36,38
sj,2012,37,11
sj,2012,38,24
sj,2012,39,8
sj,2012,40,8
sj,2012,41,6
sj,2012,42,40
sj,2012,43,3
sj,2012,44,11
sj,2012,45,17
sj,2012,46,25
sj,2012,47,27
sj,2012,48,36
sj,2012,49,22
sj,2012,50,14
sj,2012,51,28
sj,2013,1,30
sj,2013,2,28
sj,2013,3,12
sj,2013,4,48
sj,2013,5,48
sj,2013,6,20
sj,2013,7,14
sj,2013,8,6
sj,2013,9,21
sj,2013,10,50
sj,2013,11,30
sj,2013,12,24
sj,2013,13,8
sj,2013,14,57
sj,2013,15,12
sj,2013,16,31
sj,2013,17,10
iq,2010,26,37
iq,2010,27,3
iq,2010,28,11
iq,2010,29,46
iq,2010,30,16
iq,2010,31,14
iq,2010,32,16
iq,2010,33,43
iq,2010,34,27
iq,2010,35,28
iq,2010,36,14
iq,2010,37,6
iq,2010,38,3
iq,2010,39,36
iq,2010,40,9
iq,2010,41,46
iq,2010,42,6
iq,2010,43,21
iq,2010,44,5
iq,2010,45,2
iq,2010,46,51
iq,2010,47,58
iq,2010,48,32
iq,2010,49,12
iq,2010,50,18
iq,2010,51,30
iq,2011,52,9
iq,2011,1,21
iq,2011,2,31
iq,2011,3,16
iq,2011,4,58
iq,2011,5,15
iq,2011,6,102
iq,2011,7,0
iq,2011,8,22
iq,2011,9,6
iq,2011,10,4
iq,2011,11,13
iq,2011,12,50
iq,2011,13,8
iq,2011,14,29
iq,2011,15,25
iq,2011,16,2
iq,2011,17,10
iq,2011,18,2
iq,2011,19,150
iq,2011,20,6
iq,2011,21,47
iq,2011,22,36
iq,2011,23,15
iq,2011,24,3
iq,2011,25,150
iq,2011,26,108
iq,2011,27,23
iq,2011,28,14
iq,2011,29,40
iq,2011,30,65
iq,2011,31,20
iq,2011,32,18
iq,2011,33,10
iq,2011,34,19
iq,2011,35,30
iq,2011,36,29
iq,2011,37,4
iq,2011,38,7
iq,2011,39,15
iq,2011,40,15
iq,2011,41,162
iq,2011,42,27
iq,2011,43,42
iq,2011,44,135
iq,2011,45,16
iq,2011,46,12
iq,2011,47,7
iq,2011,48,23
iq,2011,49,19
iq,2011,50,11
