city,year,weekofyear,total_cases
sj,2008,18,22
sj,2008,19,22
sj,2008,20,35
sj,2008,21,23
sj,2008,22,37
sj,2008,23,40
sj,2008,24,37
sj,2008,25,40
sj,2008,26,38
sj,2008,27,40
sj,2008,28,36
sj,2008,29,41
sj,2008,30,40
sj,2008,31,41
sj,2008,32,70
sj,2008,33,58
sj,2008,34,49
sj,2008,35,68
sj,2008,36,71
sj,2008,37,68
sj,2008,38,70
sj,2008,39,39
sj,2008,40,71
sj,2008,41,39
sj,2008,42,39
sj,2008,43,37
sj,2008,44,37
sj,2008,45,39
sj,2008,46,36
sj,2008,47,37
sj,2008,48,32
sj,2008,49,20
sj,2008,50,20
sj,2008,51,20
sj,2008,52,21
sj,2009,1,21
sj,2009,2,21
sj,2009,3,21
sj,2009,4,21
sj,2009,5,22
sj,2009,6,20
sj,2009,7,20
sj,2009,8,20
sj,2009,9,21
sj,2009,10,20
sj,2009,11,20
sj,2009,12,20
sj,2009,13,20
sj,2009,14,20
sj,2009,15,20
sj,2009,16,20
sj,2009,17,20
sj,2009,18,20
sj,2009,19,20
sj,2009,20,32
sj,2009,21,25
sj,2009,22,38
sj,2009,23,37
sj,2009,24,37
sj,2009,25,38
sj,2009,26,49
sj,2009,27,44
sj,2009,28,43
sj,2009,29,50
sj,2009,30,50
sj,2009,31,50
sj,2009,32,44
sj,2009,33,46
sj,2009,34,47
sj,2009,35,73
sj,2009,36,42
sj,2009,37,63
sj,2009,38,51
sj,2009,39,38
sj,2009,40,72
sj,2009,41,72
sj,2009,42,71
sj,2009,43,74
sj,2009,44,41
sj,2009,45,51
sj,2009,46,39
sj,2009,47,37
sj,2009,48,38
sj,2009,49,37
sj,2009,50,37
sj,2009,51,37
sj,2009,52,30
sj,2010,53,30
sj,2010,1,34
sj,2010,2,22
sj,2010,3,37
sj,2010,4,35
sj,2010,5,21
sj,2010,6,20
sj,2010,7,22
sj,2010,8,21
sj,2010,9,38
sj,2010,10,24
sj,2010,11,22
sj,2010,12,38
sj,2010,13,32
sj,2010,14,20
sj,2010,15,20
sj,2010,16,35
sj,2010,17,42
sj,2010,18,40
sj,2010,19,38
sj,2010,20,38
sj,2010,21,38
sj,2010,22,69
sj,2010,23,68
sj,2010,24,59
sj,2010,25,68
sj,2010,26,68
sj,2010,27,68
sj,2010,28,74
sj,2010,29,68
sj,2010,30,69
sj,2010,31,68
sj,2010,32,71
sj,2010,33,69
sj,2010,34,71
sj,2010,35,68
sj,2010,36,68
sj,2010,37,69
sj,2010,38,59
sj,2010,39,61
sj,2010,40,68
sj,2010,41,69
sj,2010,42,44
sj,2010,43,37
sj,2010,44,39
sj,2010,45,38
sj,2010,46,32
sj,2010,47,20
sj,2010,48,20
sj,2010,49,21
sj,2010,50,32
sj,2010,51,20
sj,2011,52,20
sj,2011,1,21
sj,2011,2,22
sj,2011,3,22
sj,2011,4,22
sj,2011,5,21
sj,2011,6,20
sj,2011,7,20
sj,2011,8,20
sj,2011,9,20
sj,2011,10,21
sj,2011,11,20
sj,2011,12,21
sj,2011,13,21
sj,2011,14,26
sj,2011,15,20
sj,2011,16,20
sj,2011,17,20
sj,2011,18,32
sj,2011,19,20
sj,2011,20,37
sj,2011,21,41
sj,2011,22,41
sj,2011,23,44
sj,2011,24,69
sj,2011,25,69
sj,2011,26,69
sj,2011,27,68
sj,2011,28,68
sj,2011,29,42
sj,2011,30,69
sj,2011,31,60
sj,2011,32,69
sj,2011,33,69
sj,2011,34,69
sj,2011,35,69
sj,2011,36,45
sj,2011,37,68
sj,2011,38,53
sj,2011,39,68
sj,2011,40,67
sj,2011,41,38
sj,2011,42,37
sj,2011,43,37
sj,2011,44,41
sj,2011,45,39
sj,2011,46,37
sj,2011,47,36
sj,2011,48,40
sj,2011,49,22
sj,2011,50,34
sj,2011,51,20
sj,2012,52,20
sj,2012,1,22
sj,2012,2,22
sj,2012,3,20
sj,2012,4,21
sj,2012,5,20
sj,2012,6,20
sj,2012,7,20
sj,2012,8,21
sj,2012,9,20
sj,2012,10,20
sj,2012,11,20
sj,2012,12,20
sj,2012,13,20
sj,2012,14,24
sj,2012,15,22
sj,2012,16,21
sj,2012,17,20
sj,2012,18,37
sj,2012,19,32
sj,2012,20,38
sj,2012,21,37
sj,2012,22,31
sj,2012,23,40
sj,2012,24,44
sj,2012,25,44
sj,2012,26,46
sj,2012,27,44
sj,2012,28,38
sj,2012,29,47
sj,2012,30,68
sj,2012,31,42
sj,2012,32,93
sj,2012,33,67
sj,2012,34,69
sj,2012,35,39
sj,2012,36,41
sj,2012,37,44
sj,2012,38,44
sj,2012,39,50
sj,2012,40,44
sj,2012,41,41
sj,2012,42,68
sj,2012,43,44
sj,2012,44,62
sj,2012,45,41
sj,2012,46,40
sj,2012,47,38
sj,2012,48,37
sj,2012,49,33
sj,2012,50,21
sj,2012,51,20
sj,2013,1,24
sj,2013,2,20
sj,2013,3,20
sj,2013,4,20
sj,2013,5,20
sj,2013,6,21
sj,2013,7,20
sj,2013,8,20
sj,2013,9,20
sj,2013,10,20
sj,2013,11,20
sj,2013,12,20
sj,2013,13,24
sj,2013,14,22
sj,2013,15,29
sj,2013,16,24
sj,2013,17,20
iq,2010,26,10
iq,2010,27,4
iq,2010,28,10
iq,2010,29,4
iq,2010,30,4
iq,2010,31,4
iq,2010,32,4
iq,2010,33,4
iq,2010,34,4
iq,2010,35,4
iq,2010,36,5
iq,2010,37,4
iq,2010,38,9
iq,2010,39,5
iq,2010,40,5
iq,2010,41,6
iq,2010,42,10
iq,2010,43,9
iq,2010,44,9
iq,2010,45,9
iq,2010,46,10
iq,2010,47,10
iq,2010,48,9
iq,2010,49,10
iq,2010,50,9
iq,2010,51,4
iq,2011,52,9
iq,2011,1,4
iq,2011,2,10
iq,2011,3,10
iq,2011,4,4
iq,2011,5,10
iq,2011,6,10
iq,2011,7,10
iq,2011,8,10
iq,2011,9,10
iq,2011,10,10
iq,2011,11,10
iq,2011,12,10
iq,2011,13,10
iq,2011,14,10
iq,2011,15,10
iq,2011,16,10
iq,2011,17,10
iq,2011,18,10
iq,2011,19,4
iq,2011,20,5
iq,2011,21,10
iq,2011,22,6
iq,2011,23,5
iq,2011,24,6
iq,2011,25,4
iq,2011,26,5
iq,2011,27,5
iq,2011,28,4
iq,2011,29,4
iq,2011,30,4
iq,2011,31,4
iq,2011,32,4
iq,2011,33,4
iq,2011,34,5
iq,2011,35,4
iq,2011,36,4
iq,2011,37,4
iq,2011,38,4
iq,2011,39,10
iq,2011,40,8
iq,2011,41,10
iq,2011,42,9
iq,2011,43,10
iq,2011,44,10
iq,2011,45,9
iq,2011,46,10
iq,2011,47,10
iq,2011,48,10
iq,2011,49,10
iq,2011,50,10
iq,2011,51,10
iq,2012,52,10
iq,2012,1,10
iq,2012,2,10
iq,2012,3,9
iq,2012,4,5
iq,2012,5,10
iq,2012,6,10
iq,2012,7,10
iq,2012,8,5
iq,2012,9,5
iq,2012,10,10
