city,year,weekofyear,total_cases
sj,2008,18,27
sj,2008,19,19
sj,2008,20,28
sj,2008,21,32
sj,2008,22,23
sj,2008,23,52
sj,2008,24,33
sj,2008,25,45
sj,2008,26,37
sj,2008,27,38
sj,2008,28,42
sj,2008,29,50
sj,2008,30,38
sj,2008,31,38
sj,2008,32,61
sj,2008,33,44
sj,2008,34,38
sj,2008,35,44
sj,2008,36,62
sj,2008,37,54
sj,2008,38,56
sj,2008,39,33
sj,2008,40,46
sj,2008,41,37
sj,2008,42,40
sj,2008,43,33
sj,2008,44,34
sj,2008,45,41
sj,2008,46,37
sj,2008,47,43
sj,2008,48,26
sj,2008,49,16
sj,2008,50,17
sj,2008,51,22
sj,2008,52,18
sj,2009,1,18
sj,2009,2,18
sj,2009,3,22
sj,2009,4,22
sj,2009,5,26
sj,2009,6,18
sj,2009,7,17
sj,2009,8,16
sj,2009,9,17
sj,2009,10,17
sj,2009,11,16
sj,2009,12,17
sj,2009,13,16
sj,2009,14,16
sj,2009,15,17
sj,2009,16,17
sj,2009,17,16
sj,2009,18,21
sj,2009,19,17
sj,2009,20,36
sj,2009,21,24
sj,2009,22,41
sj,2009,23,37
sj,2009,24,38
sj,2009,25,38
sj,2009,26,97
sj,2009,27,59
sj,2009,28,40
sj,2009,29,55
sj,2009,30,47
sj,2009,31,46
sj,2009,32,56
sj,2009,33,38
sj,2009,34,44
sj,2009,35,71
sj,2009,36,43
sj,2009,37,37
sj,2009,38,38
sj,2009,39,37
sj,2009,40,61
sj,2009,41,59
sj,2009,42,56
sj,2009,43,39
sj,2009,44,44
sj,2009,45,53
sj,2009,46,32
sj,2009,47,44
sj,2009,48,36
sj,2009,49,35
sj,2009,50,27
sj,2009,51,37
sj,2009,52,23
sj,2010,53,23
sj,2010,1,33
sj,2010,2,21
sj,2010,3,35
sj,2010,4,28
sj,2010,5,24
sj,2010,6,17
sj,2010,7,20
sj,2010,8,19
sj,2010,9,35
sj,2010,10,38
sj,2010,11,25
sj,2010,12,49
sj,2010,13,31
sj,2010,14,16
sj,2010,15,18
sj,2010,16,28
sj,2010,17,39
sj,2010,18,40
sj,2010,19,31
sj,2010,20,37
sj,2010,21,37
sj,2010,22,65
sj,2010,23,49
sj,2010,24,41
sj,2010,25,42
sj,2010,26,42
sj,2010,27,74
sj,2010,28,92
sj,2010,29,50
sj,2010,30,69
sj,2010,31,44
sj,2010,32,116
sj,2010,33,50
sj,2010,34,115
sj,2010,35,53
sj,2010,36,71
sj,2010,37,105
sj,2010,38,68
sj,2010,39,42
sj,2010,40,47
sj,2010,41,109
sj,2010,42,37
sj,2010,43,56
sj,2010,44,33
sj,2010,45,35
sj,2010,46,30
sj,2010,47,18
sj,2010,48,17
sj,2010,49,23
sj,2010,50,30
sj,2010,51,18
sj,2011,52,17
sj,2011,1,18
sj,2011,2,28
sj,2011,3,28
sj,2011,4,21
sj,2011,5,18
sj,2011,6,18
sj,2011,7,22
sj,2011,8,20
sj,2011,9,17
sj,2011,10,17
sj,2011,11,17
sj,2011,12,17
sj,2011,13,22
sj,2011,14,26
sj,2011,15,18
sj,2011,16,18
sj,2011,17,18
sj,2011,18,29
sj,2011,19,17
sj,2011,20,37
sj,2011,21,43
sj,2011,22,35
sj,2011,23,45
sj,2011,24,103
sj,2011,25,105
sj,2011,26,54
sj,2011,27,47
sj,2011,28,66
sj,2011,29,33
sj,2011,30,81
sj,2011,31,42
sj,2011,32,97
sj,2011,33,63
sj,2011,34,83
sj,2011,35,53
sj,2011,36,38
sj,2011,37,47
sj,2011,38,34
sj,2011,39,65
sj,2011,40,44
sj,2011,41,37
sj,2011,42,38
sj,2011,43,39
sj,2011,44,34
sj,2011,45,36
sj,2011,46,34
sj,2011,47,32
sj,2011,48,50
sj,2011,49,20
sj,2011,50,29
sj,2011,51,16
sj,2012,52,18
sj,2012,1,21
sj,2012,2,21
sj,2012,3,18
sj,2012,4,19
sj,2012,5,17
sj,2012,6,18
sj,2012,7,18
sj,2012,8,18
sj,2012,9,18
sj,2012,10,18
sj,2012,11,17
sj,2012,12,16
sj,2012,13,18
sj,2012,14,26
sj,2012,15,23
sj,2012,16,19
sj,2012,17,17
sj,2012,18,42
sj,2012,19,29
sj,2012,20,38
sj,2012,21,35
sj,2012,22,33
sj,2012,23,38
sj,2012,24,51
sj,2012,25,52
sj,2012,26,50
sj,2012,27,43
sj,2012,28,36
sj,2012,29,45
sj,2012,30,56
sj,2012,31,38
sj,2012,32,41
sj,2012,33,55
sj,2012,34,51
sj,2012,35,37
sj,2012,36,47
sj,2012,37,61
sj,2012,38,59
sj,2012,39,49
sj,2012,40,38
sj,2012,41,37
sj,2012,42,45
sj,2012,43,38
sj,2012,44,47
sj,2012,45,37
sj,2012,46,38
sj,2012,47,38
sj,2012,48,41
sj,2012,49,25
sj,2012,50,15
sj,2012,51,22
sj,2013,1,23
sj,2013,2,23
sj,2013,3,17
sj,2013,4,17
sj,2013,5,25
sj,2013,6,18
sj,2013,7,17
sj,2013,8,17
sj,2013,9,17
sj,2013,10,17
sj,2013,11,16
sj,2013,12,16
sj,2013,13,18
sj,2013,14,25
sj,2013,15,27
sj,2013,16,24
sj,2013,17,22
iq,2010,26,7
iq,2010,27,4
iq,2010,28,10
iq,2010,29,2
iq,2010,30,2
iq,2010,31,4
iq,2010,32,3
iq,2010,33,3
iq,2010,34,3
iq,2010,35,7
iq,2010,36,3
iq,2010,37,6
iq,2010,38,7
iq,2010,39,5
iq,2010,40,6
iq,2010,41,7
iq,2010,42,10
iq,2010,43,8
iq,2010,44,8
iq,2010,45,8
iq,2010,46,11
iq,2010,47,11
iq,2010,48,7
iq,2010,49,9
iq,2010,50,9
iq,2010,51,7
iq,2011,52,5
iq,2011,1,7
iq,2011,2,8
iq,2011,3,6
iq,2011,4,3
iq,2011,5,7
iq,2011,6,9
iq,2011,7,11
iq,2011,8,9
iq,2011,9,11
iq,2011,10,10
iq,2011,11,9
iq,2011,12,10
iq,2011,13,10
iq,2011,14,10
iq,2011,15,9
iq,2011,16,9
iq,2011,17,8
iq,2011,18,12
iq,2011,19,4
iq,2011,20,5
iq,2011,21,9
iq,2011,22,5
iq,2011,23,5
iq,2011,24,5
iq,2011,25,4
iq,2011,26,5
iq,2011,27,5
iq,2011,28,2
iq,2011,29,2
iq,2011,30,3
iq,2011,31,3
iq,2011,32,3
iq,2011,33,5
iq,2011,34,6
iq,2011,35,5
iq,2011,36,4
iq,2011,37,4
iq,2011,38,3
iq,2011,39,5
iq,2011,40,3
iq,2011,41,10
iq,2011,42,8
iq,2011,43,9
iq,2011,44,7
iq,2011,45,10
iq,2011,46,10
iq,2011,47,12
iq,2011,48,8
iq,2011,49,8
iq,2011,50,11
iq,2011,51,16
iq,2012,52,8
iq,2012,1,12
iq,2012,2,10
iq,2012,3,6
iq,2012,4,4
iq,2012,5,13
iq,2012,6,10
iq,2012,7,8
iq,2012,8,7
iq,2012,9,3
iq,2012,10,9
iq,2012,11,5
iq,2012,12,3
iq,2012,13,10
iq,2012,14,7
iq,2012,15,8
iq,2012,16,11
iq,2012,17,10
iq,2012,18,10
iq,2012,19,3
iq,2012,20,9
iq,2012,21,5
