city,year,weekofyear,total_cases
sj,2008,18,24
sj,2008,19,21
sj,2008,20,34
sj,2008,21,39
sj,2008,22,26
sj,2008,23,50
sj,2008,24,40
sj,2008,25,45
sj,2008,26,40
sj,2008,27,41
sj,2008,28,42
sj,2008,29,42
sj,2008,30,41
sj,2008,31,41
sj,2008,32,45
sj,2008,33,43
sj,2008,34,41
sj,2008,35,47
sj,2008,36,69
sj,2008,37,50
sj,2008,38,43
sj,2008,39,37
sj,2008,40,42
sj,2008,41,45
sj,2008,42,37
sj,2008,43,39
sj,2008,44,44
sj,2008,45,40
sj,2008,46,41
sj,2008,47,40
sj,2008,48,24
sj,2008,49,20
sj,2008,50,20
sj,2008,51,21
sj,2008,52,20
sj,2009,1,20
sj,2009,2,20
sj,2009,3,21
sj,2009,4,21
sj,2009,5,24
sj,2009,6,20
sj,2009,7,20
sj,2009,8,20
sj,2009,9,20
sj,2009,10,20
sj,2009,11,20
sj,2009,12,20
sj,2009,13,20
sj,2009,14,20
sj,2009,15,20
sj,2009,16,20
sj,2009,17,19
sj,2009,18,20
sj,2009,19,20
sj,2009,20,36
sj,2009,21,24
sj,2009,22,39
sj,2009,23,41
sj,2009,24,42
sj,2009,25,42
sj,2009,26,67
sj,2009,27,44
sj,2009,28,40
sj,2009,29,44
sj,2009,30,43
sj,2009,31,42
sj,2009,32,44
sj,2009,33,41
sj,2009,34,42
sj,2009,35,47
sj,2009,36,43
sj,2009,37,40
sj,2009,38,42
sj,2009,39,40
sj,2009,40,47
sj,2009,41,47
sj,2009,42,50
sj,2009,43,41
sj,2009,44,43
sj,2009,45,54
sj,2009,46,36
sj,2009,47,41
sj,2009,48,38
sj,2009,49,38
sj,2009,50,38
sj,2009,51,39
sj,2009,52,23
sj,2010,53,23
sj,2010,1,27
sj,2010,2,21
sj,2010,3,31
sj,2010,4,29
sj,2010,5,21
sj,2010,6,20
sj,2010,7,21
sj,2010,8,20
sj,2010,9,37
sj,2010,10,26
sj,2010,11,22
sj,2010,12,43
sj,2010,13,34
sj,2010,14,19
sj,2010,15,20
sj,2010,16,32
sj,2010,17,39
sj,2010,18,43
sj,2010,19,41
sj,2010,20,40
sj,2010,21,40
sj,2010,22,68
sj,2010,23,55
sj,2010,24,42
sj,2010,25,39
sj,2010,26,47
sj,2010,27,74
sj,2010,28,71
sj,2010,29,48
sj,2010,30,53
sj,2010,31,47
sj,2010,32,99
sj,2010,33,54
sj,2010,34,95
sj,2010,35,66
sj,2010,36,68
sj,2010,37,94
sj,2010,38,43
sj,2010,39,42
sj,2010,40,43
sj,2010,41,89
sj,2010,42,41
sj,2010,43,45
sj,2010,44,37
sj,2010,45,38
sj,2010,46,25
sj,2010,47,20
sj,2010,48,20
sj,2010,49,21
sj,2010,50,25
sj,2010,51,20
sj,2011,52,20
sj,2011,1,20
sj,2011,2,24
sj,2011,3,24
sj,2011,4,21
sj,2011,5,20
sj,2011,6,20
