city,year,weekofyear,total_cases
sj,2008,18,27
sj,2008,19,28
sj,2008,20,32
sj,2008,21,36
sj,2008,22,33
sj,2008,23,39
sj,2008,24,34
sj,2008,25,39
sj,2008,26,38
sj,2008,27,41
sj,2008,28,36
sj,2008,29,44
sj,2008,30,40
sj,2008,31,41
sj,2008,32,39
sj,2008,33,43
sj,2008,34,41
sj,2008,35,41
sj,2008,36,44
sj,2008,37,38
sj,2008,38,40
sj,2008,39,34
sj,2008,40,34
sj,2008,41,39
sj,2008,42,34
sj,2008,43,34
sj,2008,44,36
sj,2008,45,39
sj,2008,46,36
sj,2008,47,34
sj,2008,48,31
sj,2008,49,23
sj,2008,50,26
sj,2008,51,26
sj,2008,52,20
sj,2009,1,20
sj,2009,2,20
sj,2009,3,27
sj,2009,4,26
sj,2009,5,27
sj,2009,6,25
sj,2009,7,24
sj,2009,8,23
sj,2009,9,20
sj,2009,10,24
sj,2009,11,23
sj,2009,12,20
sj,2009,13,21
sj,2009,14,20
sj,2009,15,24
sj,2009,16,28
sj,2009,17,27
sj,2009,18,28
sj,2009,19,27
sj,2009,20,32
sj,2009,21,30
sj,2009,22,37
sj,2009,23,34
sj,2009,24,36
sj,2009,25,39
sj,2009,26,38
sj,2009,27,45
sj,2009,28,38
sj,2009,29,45
sj,2009,30,41
sj,2009,31,39
sj,2009,32,44
sj,2009,33,42
sj,2009,34,44
sj,2009,35,48
sj,2009,36,40
sj,2009,37,37
sj,2009,38,42
sj,2009,39,38
sj,2009,40,45
sj,2009,41,46
sj,2009,42,45
sj,2009,43,41
sj,2009,44,41
sj,2009,45,40
sj,2009,46,33
sj,2009,47,37
sj,2009,48,36
sj,2009,49,33
sj,2009,50,34
sj,2009,51,30
sj,2009,52,31
sj,2010,53,31
sj,2010,1,27
sj,2010,2,23
sj,2010,3,27
sj,2010,4,30
sj,2010,5,19
sj,2010,6,25
sj,2010,7,27
sj,2010,8,29
sj,2010,9,33
sj,2010,10,22
sj,2010,11,25
sj,2010,12,31
sj,2010,13,33
sj,2010,14,27
sj,2010,15,24
sj,2010,16,31
sj,2010,17,36
sj,2010,18,35
sj,2010,19,34
sj,2010,20,39
sj,2010,21,38
sj,2010,22,43
sj,2010,23,43
sj,2010,24,42
sj,2010,25,37
sj,2010,26,37
sj,2010,27,42
sj,2010,28,41
sj,2010,29,37
sj,2010,30,36
sj,2010,31,43
sj,2010,32,44
sj,2010,33,43
sj,2010,34,44
sj,2010,35,42
sj,2010,36,44
sj,2010,37,41
sj,2010,38,42
sj,2010,39,40
sj,2010,40,42
sj,2010,41,41
sj,2010,42,40
sj,2010,43,36
sj,2010,44,34
sj,2010,45,36
sj,2010,46,31
sj,2010,47,27
sj,2010,48,23
sj,2010,49,16
sj,2010,50,30
sj,2010,51,23
sj,2011,52,26
sj,2011,1,19
sj,2011,2,24
sj,2011,3,26
sj,2011,4,22
sj,2011,5,21
sj,2011,6,23
sj,2011,7,27
sj,2011,8,25
sj,2011,9,20
sj,2011,10,20
sj,2011,11,19
sj,2011,12,19
sj,2011,13,22
sj,2011,14,28
sj,2011,15,25
sj,2011,16,27
sj,2011,17,29
sj,2011,18,31
sj,2011,19,28
sj,2011,20,27
sj,2011,21,26
sj,2011,22,38
sj,2011,23,29
sj,2011,24,37
sj,2011,25,35
sj,2011,26,36
sj,2011,27,39
sj,2011,28,37
sj,2011,29,35
sj,2011,30,43
sj,2011,31,38
sj,2011,32,37
sj,2011,33,37
sj,2011,34,41
sj,2011,35,36
sj,2011,36,40
sj,2011,37,45
sj,2011,38,34
sj,2011,39,39
sj,2011,40,39
sj,2011,41,36
sj,2011,42,36
sj,2011,43,34
sj,2011,44,35
sj,2011,45,33
sj,2011,46,35
sj,2011,47,34
sj,2011,48,30
sj,2011,49,26
sj,2011,50,31
sj,2011,51,25
sj,2012,52,26
sj,2012,1,28
sj,2012,2,24
sj,2012,3,24
sj,2012,4,20
sj,2012,5,21
sj,2012,6,22
sj,2012,7,25
sj,2012,8,20
sj,2012,9,25
sj,2012,10,25
sj,2012,11,26
sj,2012,12,25
sj,2012,13,27
sj,2012,14,28
